key,n_in,n_out,rbc_in,rbc_out,rbc_bg,tm_in,tm_out,tm_bg,dis_in,dis_out,dis_bg,gas_in,gas_out,gas_bg
2024-10-17_048JJ,70520,3141,0.8772766925855326,0.885082119434362,0.009651993911321056,0.8404910261227908,0.8645721180620648,0.03509457457459873,0.4661745127144057,0.1144499812609357,0.009911850079977151,0.4188206179216487,0.469716288138933,0.05978538540654586
2024-10-22_021CH,52451,7008,0.7321374361883672,0.29973980601379185,0.05237900491479162,0.7019877542572535,0.31489898601652605,0.042924036093359465,0.4689734398345264,0.14157722511889279,0.001147835265905488,0.3935877681542292,0.4812628968890412,0.09854676440647825
2024-10-28_022VT,48085,3262,0.469228872678485,0.13258078915197843,0.0054379922749915365,0.42798594513905147,0.11351518597900205,0.04274696622407221,0.2674007703804922,0.00027716463339073357,-0.001384132603604166,0.23012543839793978,0.3908110271754183,0.0153734319003937
2024-10-29_049WG,47635,2353,0.8446316003178657,0.2938812637954718,-0.007395110838775381,0.7992783694225383,0.29061323978840137,0.011050030454385648,0.28604275825852443,0.1392373970908069,-0.0029508826452795674,0.229371793143462,0.3293851192627689,0.02429334972532091
2024-11-05_023LL,39845,1425,0.8012458625110045,0.6367713564124593,-0.0010163892236615113,0.771913346472032,0.588247627239838,-0.00012039740915858122,0.5575728446643112,0.12016056808878343,0.008342742546297063,0.42719164573788193,0.5691536739112072,0.07241287210665305
2024-11-13_025JC,73632,1519,0.9182366593799597,0.8423813602236012,0.0773335635070109,0.9224120639773307,0.8377626261914206,0.08944740129524438,0.6911361894075532,0.14110926097085624,0.12404254547577864,0.45364518121987846,0.5966013543263947,0.0715126752152565
2024-11-18_026CH,36444,2731,0.7555056760743452,0.6510642328502798,0.01936695012325513,0.679163856891022,0.5321679095190376,0.00529854193285419,0.38833249723062235,0.15997273692090003,0.010574044589254738,0.4586633250154357,0.5294581966430775,0.05801143976612139
2024-11-26_050EH,72792,2085,0.8261843014003437,0.5196119312330431,0.010461889763082897,0.7775442775603476,0.47573624071756976,0.05308190187969397,0.35325951608967493,0.1588594909745735,0.016006525531251075,0.2320277276685767,0.25962176392411207,0.021345742141842688
2024-12-05_043AS,45029,856,0.8134500066142213,0.6108191981954294,0.003595911674833687,0.6677706224900777,0.37611996440475554,-0.0034093030042301486,0.2376642993577867,0.020324532883614306,-0.0023432127287557245,0.19483538832060546,0.2356273974905934,0.010795010316812032
2024-12-06_051VM,45468,3791,0.4270658685288387,0.3223084434631583,0.0008839322728837841,0.3429999378794498,0.2407630400752516,0.01142714874898065,-0.013651124403074843,-0.04813874245634283,0.013347596017597163,0.17063214516035158,0.30747728516701334,0.028712698395692692
2024-12-09_027JC,45484,3677,0.7031245059268114,0.531436880275849,-0.040160892967564026,0.65448962920613,0.416061229954095,-0.017085342953760484,0.3425700297807571,-0.02001463914574806,0.0023726653313841006,0.3775222228990402,0.4425730479815421,0.06319857078282558
